Module,Function,SubFunction,Role,PermissionCode,FrontendRoute,APIEndpoint,UILocation,Scope,AccessStatus,EntitlementRequired,SubscriptionRequired
AUTHENTICATION,User Login,Credentials Authentication & Token Issuance,SYSTEM_OWNER,auth.login,/login,POST /api/auth/login,Login Form Modal,Public,ALLOW,None,None
AUTHENTICATION,User Login,Credentials Authentication & Token Issuance,SUPER_ADMIN,auth.login,/login,POST /api/auth/login,Login Form Modal,Public,ALLOW,None,None
AUTHENTICATION,User Login,Credentials Authentication & Token Issuance,ADMIN,auth.login,/login,POST /api/auth/login,Login Form Modal,Public,ALLOW,None,None
AUTHENTICATION,User Login,Credentials Authentication & Token Issuance,STAFF,auth.login,/login,POST /api/auth/login,Login Form Modal,Public,ALLOW,None,None
AUTHENTICATION,User Login,Credentials Authentication & Token Issuance,CUSTOMER_OWNER,auth.login,/login,POST /api/auth/login,Login Form Modal,Public,ALLOW,None,None
AUTHENTICATION,User Login,Credentials Authentication & Token Issuance,CUSTOMER_MANAGER,auth.login,/login,POST /api/auth/login,Login Form Modal,Public,ALLOW,None,None
AUTHENTICATION,User Login,Credentials Authentication & Token Issuance,CUSTOMER_STAFF,auth.login,/login,POST /api/auth/login,Login Form Modal,Public,ALLOW,None,None
AUTHENTICATION,Trial Registration,Self-Serve 14-Day Pro Trial Onboarding,SYSTEM_OWNER,auth.register,/register-trial,POST /api/auth/register-trial,Trial Modal (#modal-trial-register),Public,DENY,None,None
AUTHENTICATION,Trial Registration,Self-Serve 14-Day Pro Trial Onboarding,SUPER_ADMIN,auth.register,/register-trial,POST /api/auth/register-trial,Trial Modal (#modal-trial-register),Public,DENY,None,None
AUTHENTICATION,Trial Registration,Self-Serve 14-Day Pro Trial Onboarding,ADMIN,auth.register,/register-trial,POST /api/auth/register-trial,Trial Modal (#modal-trial-register),Public,DENY,None,None
AUTHENTICATION,Trial Registration,Self-Serve 14-Day Pro Trial Onboarding,STAFF,auth.register,/register-trial,POST /api/auth/register-trial,Trial Modal (#modal-trial-register),Public,DENY,None,None
AUTHENTICATION,Trial Registration,Self-Serve 14-Day Pro Trial Onboarding,CUSTOMER_OWNER,auth.register,/register-trial,POST /api/auth/register-trial,Trial Modal (#modal-trial-register),Public,ALLOW,None,None
AUTHENTICATION,Trial Registration,Self-Serve 14-Day Pro Trial Onboarding,CUSTOMER_MANAGER,auth.register,/register-trial,POST /api/auth/register-trial,Trial Modal (#modal-trial-register),Public,DENY,None,None
AUTHENTICATION,Trial Registration,Self-Serve 14-Day Pro Trial Onboarding,CUSTOMER_STAFF,auth.register,/register-trial,POST /api/auth/register-trial,Trial Modal (#modal-trial-register),Public,DENY,None,None
AUTHENTICATION,Public Lead Contact,Enterprise Inquiry Submission,SYSTEM_OWNER,leads.create,/contact,POST /api/public/leads/contact,Enterprise Modal (#modal-enterprise-contact),Public,DENY,None,None
AUTHENTICATION,Public Lead Contact,Enterprise Inquiry Submission,SUPER_ADMIN,leads.create,/contact,POST /api/public/leads/contact,Enterprise Modal (#modal-enterprise-contact),Public,DENY,None,None
AUTHENTICATION,Public Lead Contact,Enterprise Inquiry Submission,ADMIN,leads.create,/contact,POST /api/public/leads/contact,Enterprise Modal (#modal-enterprise-contact),Public,DENY,None,None
